1,0,2,4,0,5,23,0,4,1,5,1,7,30,3,1,A,
1,1,1,4,1,12,61,1,4,0,0,5,2,78,2,2,B,
1,0,2,4,1,11,6,1,4,0,1,3,8,50,3,3,B,
1,2,2,3,1,2,66,2,0,1,0,5,6,55,3,4,B,
0,4,2,1,3,1,28,2,1,1,0,4,6,44,1,5,A,
1,0,0,0,4,8,28,0,2,2,3,0,0,0,2,6,A,
1,1,2,1,2,9,28,3,2,1,1,4,12,26,2,7,A,
0,4,2,2,1,2,22,3,2,1,2,1,12,51,1,8,A,
1,2,2,2,0,6,54,3,2,0,2,0,8,76,2,9,A,
0,3,1,3,0,6,47,1,2,0,3,0,8,81,1,10,A,
0,4,2,4,0,1,56,0,2,2,4,0,6,21,1,11,A,
0,4,1,3,0,4,28,0,2,0,4,1,4,37,0,12,A,
0,4,1,5,1,3,90,2,1,0,3,1,2,80,1,13,A,
0,1,0,5,0,2,30,0,4,2,4,1,6,21,0,14,B,
1,1,1,5,1,1,52,0,0,1,2,0,8,28,1,15,B,
1,0,1,2,1,1,5,2,4,1,3,1,4,17,2,16,A,
0,3,2,2,3,4,16,2,0,1,4,0,12,28,1,17,A,
0,0,1,0,6,1,62,3,1,1,1,3,6,23,3,18,B,
0,3,1,3,0,6,66,3,2,2,5,0,5,35,2,19,A,
0,3,2,3,0,2,58,2,1,2,1,1,8,52,2,20,B,
1,4,0,3,0,1,28,3,3,1,0,2,2,81,1,21,B,
0,1,1,5,0,10,83,3,2,0,3,1,8,85,2,22,B,
1,3,0,3,0,9,52,1,4,2,3,1,1,29,3,23,B,
1,3,2,0,4,8,42,3,3,0,3,0,12,18,2,24,A,
0,0,1,2,2,6,52,3,0,2,5,1,11,23,0,25,B,
0,1,2,1,4,9,11,3,3,0,5,1,5,68,2,26,A,
1,0,2,2,0,3,55,1,0,2,4,0,8,51,2,27,A,
1,2,0,5,0,0,0,1,2,2,2,1,12,28,3,28,B,
0,0,0,0,1,3,79,3,3,1,4,1,3,7,2,29,A,
1,1,0,4,0,10,14,1,4,1,3,0,1,63,1,30,B,
1,4,0,2,2,4,66,2,0,0,3,0,0,0,0,31,A,
0,3,0,5,1,4,57,1,4,0,4,1,12,50,0,32,B,
0,1,2,5,1,11,83,3,0,1,4,1,5,70,2,33,A,
1,3,1,3,1,10,25,3,1,2,3,1,7,65,0,34,A,
0,4,1,0,1,3,1,3,2,2,0,5,1,49,3,35,B,
0,1,2,4,0,9,75,2,2,2,0,0,9,47,0,36,B,
1,1,1,1,2,5,49,3,3,2,5,1,1,8,2,37,A,
0,3,1,0,7,9,61,2,1,1,1,4,10,9,2,38,A,
1,0,2,1,2,6,24,1,4,2,4,0,0,0,1,39,B,
1,1,0,1,3,3,1,3,2,1,3,1,6,73,0,40,A,
1,0,2,1,0,11,38,3,0,2,2,2,11,31,2,41,B,
0,2,1,3,0,7,69,1,3,0,4,1,2,33,3,42,A,
1,2,1,3,1,11,20,1,3,1,0,2,3,48,2,43,B,
0,2,2,2,3,5,11,3,2,0,4,1,3,18,1,44,A,
0,4,0,2,2,5,44,2,0,1,0,4,10,76,0,45,B,
1,1,2,2,0,4,41,0,1,2,5,0,2,19,3,46,A,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
