0,3,2,0,4,7,19,0,4,1,3,1,11,67,1,1,A,
1,1,0,5,0,7,45,3,0,1,3,1,4,69,1,2,B,
1,1,0,3,1,3,64,1,2,0,4,0,10,2,2,3,A,
1,3,1,5,1,12,16,1,1,0,4,1,6,55,1,4,A,
1,1,1,4,0,4,76,0,3,1,0,6,10,2,2,5,B,
0,2,1,2,3,5,24,1,0,2,1,2,8,90,0,6,A,
0,4,2,3,1,8,2,0,1,0,5,0,9,63,2,7,A,
0,4,0,0,0,3,29,3,2,2,3,1,9,21,1,8,B,
1,1,2,1,1,5,15,2,1,1,3,1,6,9,3,9,A,
1,3,0,1,2,6,2,2,4,2,5,0,1,83,2,10,A,
1,1,1,5,1,3,66,0,1,2,4,1,1,52,3,11,A,
1,0,1,3,0,5,87,2,1,2,0,1,11,66,2,12,B,
1,4,2,3,0,1,7,1,0,2,0,5,1,53,1,13,A,
1,1,0,1,0,8,90,2,4,1,2,3,10,52,3,14,A,
1,0,2,3,0,6,77,2,3,2,5,1,8,9,3,15,B,
0,3,1,5,0,8,6,0,1,2,5,1,2,78,1,16,A,
0,3,0,1,0,4,44,0,0,0,4,0,2,65,2,17,A,
1,4,1,1,4,7,72,2,0,0,2,2,6,58,0,18,A,
1,0,2,5,0,4,18,3,3,2,1,3,1,17,2,19,B,
1,0,0,4,0,11,67,3,1,2,1,4,1,86,3,20,B,
0,2,0,0,4,0,0,1,0,2,3,0,11,69,0,21,A,
0,0,1,1,1,12,90,1,2,2,1,4,9,46,2,22,B,
1,1,1,2,3,8,43,1,0,1,2,3,3,49,0,23,A,
0,1,1,1,3,0,0,2,2,0,5,0,11,73,0,24,B,
1,3,0,5,0,1,84,1,3,0,3,1,2,68,1,25,B,
0,0,2,2,2,11,36,2,2,0,1,1,4,89,0,26,B,
0,2,0,5,0,1,30,0,1,2,2,2,2,45,2,27,A,
1,3,0,2,2,12,36,2,3,2,4,1,9,53,0,28,B,
0,4,2,0,4,4,35,0,2,1,4,0,1,72,2,29,A,
1,1,1,2,1,4,66,2,3,1,2,0,6,47,0,30,B,
1,3,0,2,0,9,22,0,4,1,3,1,3,50,2,31,A,
1,3,0,0,3,2,11,0,4,0,1,1,3,78,1,32,A,
0,1,2,0,2,8,51,1,1,1,0,5,6,33,2,33,A,
1,2,2,4,0,3,77,0,2,1,4,1,4,26,3,34,A,
1,2,0,5,0,4,76,3,2,1,1,4,7,84,2,35,B,
1,4,1,5,1,10,17,1,4,2,0,1,4,61,0,36,B,
1,2,1,2,2,7,53,0,3,0,2,0,1,33,0,37,A,
0,1,2,5,0,11,4,0,4,1,4,0,4,43,0,38,A,
1,2,2,1,2,1,22,2,2,2,5,1,4,73,1,39,B,
0,0,1,2,3,9,84,1,4,1,5,1,1,58,1,40,A,
0,3,2,5,1,4,72,2,2,1,5,1,2,48,2,41,A,
0,4,1,4,0,1,38,3,4,2,5,0,0,0,0,42,B,
1,0,0,1,4,9,60,1,1,2,3,0,6,4,1,43,B,
1,1,1,2,0,12,65,0,3,0,2,1,0,0,3,44,A,
0,3,0,5,0,9,71,1,2,1,1,0,3,3,1,45,A,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
