0,2,0,4,0,4,84,2,2,2,4,0,7,20,2,1,B,
0,0,0,4,0,7,50,0,2,2,1,2,6,70,3,2,A,
1,0,2,5,1,8,3,2,1,2,4,1,4,52,2,3,A,
1,0,1,1,2,0,0,3,4,1,4,0,6,51,3,4,A,
0,2,2,1,1,6,71,2,0,0,2,1,12,42,1,5,B,
0,3,2,4,1,7,37,1,1,1,5,1,11,86,3,6,A,
1,3,0,0,5,9,35,1,4,2,5,0,4,84,0,7,B,
1,1,1,4,1,0,0,3,4,0,5,1,5,89,2,8,A,
0,3,0,3,1,8,25,2,2,1,5,1,4,42,1,9,B,
1,2,2,5,1,5,24,0,0,1,5,0,8,35,3,10,A,
0,2,2,4,0,0,0,2,2,2,2,1,0,0,2,11,A,
0,0,1,0,5,2,17,0,0,1,4,1,1,41,3,12,A,
1,4,0,4,0,5,76,2,1,1,1,3,7,90,0,13,B,
1,2,1,2,1,11,75,3,2,1,5,0,0,0,2,14,B,
0,3,1,2,2,8,48,2,3,2,4,1,12,28,1,15,B,
0,0,0,3,1,7,1,3,0,1,0,2,10,79,3,16,A,
0,1,2,1,3,3,44,3,0,2,5,0,0,0,0,17,B,
0,2,2,0,4,7,46,0,4,0,2,3,6,22,1,18,A,
1,4,0,1,0,12,43,3,2,1,4,0,11,49,0,19,B,
1,0,0,5,0,10,33,0,3,1,2,1,2,11,1,20,A,
1,0,2,3,0,0,0,2,1,0,2,2,7,3,2,21,A,
1,2,1,1,4,6,24,3,1,2,4,1,11,34,0,22,B,
0,3,0,4,0,8,9,1,4,1,3,1,6,5,0,23,B,
0,0,0,1,4,4,38,2,1,0,2,3,1,64,1,24,A,
1,0,0,5,1,11,36,2,1,2,3,0,0,0,1,25,B,
0,4,1,4,1,5,71,1,4,2,4,1,2,74,1,26,B,
1,2,0,4,1,7,89,0,4,1,1,2,9,59,1,27,A,
0,4,1,1,2,9,46,0,3,0,5,1,12,4,2,28,A,
1,2,2,2,1,6,33,3,1,2,1,1,12,87,3,29,B,
1,2,1,0,6,0,0,3,3,1,2,3,7,67,0,30,A,
1,0,1,3,0,10,84,1,4,1,5,1,0,0,1,31,A,
1,3,2,2,3,9,73,0,3,0,2,1,10,26,0,32,A,
1,3,1,4,1,11,15,2,4,1,2,0,1,89,3,33,A,
1,0,0,1,1,12,76,1,1,0,1,2,7,13,2,34,A,
1,3,2,3,0,4,22,2,3,2,4,0,12,10,2,35,B,
1,0,2,5,0,3,50,3,2,0,0,7,0,0,1,36,A,
1,0,2,5,1,8,16,2,2,2,4,0,6,85,1,37,A,
1,0,0,3,0,0,0,2,4,0,5,0,12,36,0,38,A,
1,0,0,5,1,7,41,0,1,1,3,0,4,63,3,39,A,
1,0,2,0,3,1,38,3,1,1,5,0,3,56,1,40,A,
1,2,2,5,1,9,13,1,1,1,5,1,9,14,0,41,B,
1,4,1,3,1,12,72,3,0,0,4,0,3,5,2,42,B,
0,4,2,4,1,2,29,1,4,2,1,2,7,61,2,43,A,
0,4,2,4,1,6,32,0,1,2,5,0,8,59,3,44,B,
0,3,0,3,1,0,0,1,2,0,4,1,0,0,3,45,A,
1,0,1,2,3,6,17,2,4,2,2,0,8,87,0,46,A,
1,1,1,3,1,12,70,2,2,0,0,7,4,19,3,47,B,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
